Artist,Listeners,Daily Trend,Peak,PkListeners
Brett Young,5813932,"-43,120",1424,"6,662,926"
thuy,5808015,"-17,519",1651,"5,950,997"
GoldLink,5807342,"10,465",1600,"5,807,342"
Rob Zombie,5806788,"6,685",1720,"5,806,788"
Ana BÃ¡rbara,5804841,"17,988",1387,"6,143,940"
Chris Isaak,5802066,"4,695",1633,"6,019,359"
Peter Gabriel,5801260,"7,053",1504,"5,916,206"
Madism,5801190,"-44,396",1269,"6,536,394"
Dillon Francis,5800827,"-1,650",1205,"6,761,800"
TRASHXRL,5799172,"14,002",1727,"5,799,172"
Red Velvet,5797937,"-6,311",1034,"7,748,512"
A Touch Of Class,5797608,"-5,841",1445,"6,193,660"
Alexander Stewart,5792141,"-43,825",1709,"5,835,966"
La Mosca Tse-Tse,5791036,327,1708,"5,791,036"
Kenny Dope,5790912,"-4,910",1505,"6,169,342"
Steppenwolf,5790885,"-14,389",1656,"5,850,511"
MC Menor MT,5787911,-334,1018,"7,668,287"
Chino & Nacho,5786852,"10,356",1626,"5,797,274"
Mike Perry,5786843,"-45,560",1245,"6,662,346"
Lily-Rose Depp,5786818,"39,403",1148,"7,832,924"
Bryan Martin,5786225,"356,099",1738,"5,786,225"
ChitÃ£ozinho & XororÃ³,5784285,"23,909",1734,"5,784,285"
Hungria Hip Hop,5782625,"3,689",1730,"5,782,625"
